HPC,Project,Submit_Pt,CHTC_Total,HTC,Domain,Dept,OSG,CHTC_Supported,College,Total,Traditional
0,cms,cms,7693100,76931,Physical Sciences,Physics,0,7693100,Letters and Sciences,5882188,yes
0,cms,cms,5445500,54455,Physical Sciences,Physics,0,5445500,Letters and Sciences,301350,yes
0,cms,cms,3090500,30905,Physical Sciences,Physics,0,3090500,Letters and Sciences,96477,yes
0,cms,cms,3394500,33945,Physical Sciences,Physics,0,3394500,Letters and Sciences,78124,yes
0,cms,cms,1521500,15215,Physical Sciences,Physics,0,1521500,Letters and Sciences,72089,yes
0,cms,cms,1750700,17507,Physical Sciences,Physics,0,1750700,Letters and Sciences,39610,yes
0,cms,cms,367600,3676,Physical Sciences,Physics,0,367600,Letters and Sciences,33382,yes
0,cms,cms,669400,6694,Physical Sciences,Physics,0,669400,Letters and Sciences,14161,yes
0,cms,cms,636700,6367,Physical Sciences,Physics,0,636700,Letters and Sciences,13976,yes
0,cms,cms,42300,423,Physical Sciences,Physics,0,42300,Letters and Sciences,10512,yes
0,cms,cms,554000,5540,Physical Sciences,Physics,0,554000,Letters and Sciences,6777,yes
0,cms,cms,297400,2974,Physical Sciences,Physics,0,297400,Letters and Sciences,6775,yes
0,cms,cms,249900,2499,Physical Sciences,Physics,0,249900,Letters and Sciences,5630,yes
0,cms,cms,308800,3088,Physical Sciences,Physics,0,308800,Letters and Sciences,4797,yes
0,cms,cms,193000,1930,Physical Sciences,Physics,0,193000,Letters and Sciences,3882,yes
0,cms,cms,141200,1412,Physical Sciences,Physics,0,141200,Letters and Sciences,2051,yes
0,cms,cms,44400,444,Physical Sciences,Physics,0,44400,Letters and Sciences,1937,yes
0,cms,cms,172600,1726,Physical Sciences,Physics,0,172600,Letters and Sciences,1726,yes
0,cms,cms,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,726,yes
0,cms,cms,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,450,yes
0,cms,cms,27700,277,Physical Sciences,Physics,0,27700,Letters and Sciences,343,yes
0,cms,cms,29200,292,Physical Sciences,Physics,0,29200,Letters and Sciences,315,yes
0,cms,cms,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,218,yes
0,cms,cms,2200,22,Physical Sciences,Physics,0,2200,Letters and Sciences,157,yes
0,cms,cms,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,110,yes
0,cms,cms,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,106,yes
0,cms,cms,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,2,yes
0,physics_yavuz,chtc,5.25162E+12,525162,Physical Sciences,Physics,247489,1751981,Letters and Sciences,1751981,yes
0,icecube,icecube,8.7959E+11,87959,Physical Sciences,Physics,313528,8.7959E+11,Letters and Sciences,401488,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,294131,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,243355,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,222553,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,221339,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,215810,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,212318,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,198042,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,183343,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,181889,yes
0,icecube,icecube,1.16075E+11,116075,Physical Sciences,Physics,65404,1.16075E+11,Letters and Sciences,181480,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,179459,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,174579,yes
0,icecube,icecube,17301900,173019,Physical Sciences,Physics,0,17301900,Letters and Sciences,173019,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,154306,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,135879,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,130330,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,109056,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,107690,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,106716,yes
0,icecube,icecube,68298036640,68298,Physical Sciences,Physics,36640,68298036640,Letters and Sciences,104939,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,102256,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,99506,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,89207,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,85531,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,79722,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,75598,yes
0,icecube,icecube,29037044074,29037,Physical Sciences,Physics,44074,29037044074,Letters and Sciences,73295,yes
0,icecube,icecube,5772600,57726,Physical Sciences,Physics,0,5772600,Letters and Sciences,67022,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,64857,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,63546,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,57176,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,54883,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,54770,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,53212,yes
0,icecube,icecube,4532300,45323,Physical Sciences,Physics,0,4532300,Letters and Sciences,52025,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,51444,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,46394,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,44541,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,36412,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,33758,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,30573,yes
0,icecube,icecube,2019606407,20196,Physical Sciences,Physics,6407,2019606407,Letters and Sciences,30470,yes
0,icecube,icecube,19547010623,19547,Physical Sciences,Physics,10623,19547010623,Letters and Sciences,30171,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,29526,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,28237,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,25953,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,23508,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,23343,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,23121,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,22692,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,22221,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,21715,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,21258,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,19349,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,19184,yes
0,icecube,icecube,1571500,15715,Physical Sciences,Physics,0,1571500,Letters and Sciences,15715,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,14755,yes
0,icecube,icecube,1416700,14167,Physical Sciences,Physics,0,1416700,Letters and Sciences,14167,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,13811,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,13194,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,12430,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,12417,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,9489,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,8090,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,7541,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,7230,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,6481,yes
0,icecube,icecube,0,0,Physical Sciences,Physics,0,0,Letters and Sciences,6128,yes
