Domain,CHTC_Supported,CHTC_Total,HPC,HTC,OSG,Total,Week
CS/Math/Stats,358979,349234,0,316212,33022,358979,2016-09-04
Engineering,936287,936287,701466,234821,0,944409,2016-09-04
Life Sciences,1319003,1027037,125,612032,414880,1647127,2016-09-04
Med/Pharm/Vet,156251,91513,0,91408,105,156251,2016-09-04
Physical Sciences,1359255,1091241,227474,675827,187940,3376151,2016-09-04
Social Sciences,338748,303250,25060,83359,194831,338748,2016-09-04
interdisciplinary,228281,214694,0,214694,0,412344,2016-09-04
CS/Math/Stats,320955,319182,0,319182,0,320955,2016-09-11
Engineering,855714,855714,679895,175819,0,864105,2016-09-11
Life Sciences,2024052,1683480,0,898836,784644,2388784,2016-09-11
Med/Pharm/Vet,38381,38350,424,37916,10,38381,2016-09-11
Physical Sciences,1459857,1299394,255607,556937,486850,3581070,2016-09-11
Social Sciences,228154,205198,5062,113331,86805,228154,2016-09-11
interdisciplinary,271637,259623,0,259623,0,462540,2016-09-11
CS/Math/Stats,245299,237479,18,220521,16940,245299,2016-09-25
Engineering,1195622,1195622,668401,527221,0,1200845,2016-09-25
Life Sciences,1291375,1154600,112,771889,382599,1379913,2016-09-25
Med/Pharm/Vet,56429,56247,6045,50164,38,56429,2016-09-25
Physical Sciences,728047,694557,242460,258504,193593,3248999,2016-09-25
Social Sciences,343902,309182,7477,175452,126253,343902,2016-09-25
interdisciplinary,294067,271629,0,271629,0,322177,2016-09-25
CS/Math/Stats,379004,376512,0,366086,10426,379004,2016-08-28
Engineering,1089668,1089565,652027,436528,1010,1095989,2016-08-28
Life Sciences,1226431,983569,189,431914,551466,1488372,2016-08-28
Med/Pharm/Vet,108248,85696,0,84860,836,108248,2016-08-28
Physical Sciences,1172559,839813,187386,524180,128247,3067208,2016-08-28
Social Sciences,469771,409535,4849,226107,178579,469771,2016-08-28
interdisciplinary,373342,354774,0,354774,0,692505,2016-08-28
CS/Math/Stats,192618,191859,0,188063,3796,192618,2016-09-18
Engineering,1043126,1043126,649503,393623,0,1052707,2016-09-18
Life Sciences,1715154,1463031,0,779898,683133,1908468,2016-09-18
Med/Pharm/Vet,16572,13521,4102,9416,3,16572,2016-09-18
Physical Sciences,1580577,1354606,331008,666995,356603,3865237,2016-09-18
Social Sciences,137089,114102,7,46011,68084,137089,2016-09-18
interdisciplinary,280354,261946,0,261946,0,337663,2016-09-18
